iter	RMSE
0	0.1376769313
1	0.1336037511
2	0.1297247025
3	0.1260880389
4	0.122573191
5	0.1192168734
6	0.1159763235
7	0.112989907
8	0.1101446981
9	0.1074502943
10	0.1049167583
11	0.1025739176
12	0.1002983255
13	0.09810822258
14	0.09612442786
15	0.09412249029
16	0.09225159101
17	0.0901742437
18	0.08814419812
19	0.08616595773
20	0.08428748347
21	0.08250228359
22	0.08082663563
23	0.07926019905
24	0.07778687795
25	0.07638791149
26	0.07505726516
27	0.07381841488
28	0.07261397804
29	0.07153430655
30	0.07046211059
31	0.06948220582
32	0.0685559394
33	0.06767758729
34	0.06682482233
35	0.06571570347
36	0.06462654277
37	0.06363025039
38	0.06267895271
39	0.06177039468
40	0.06089891681
41	0.06011564965
42	0.05936785077
43	0.05864567209
44	0.05798860585
45	0.05735963241
46	0.05681854483
47	0.05627683644
48	0.05577350727
49	0.05528195471
50	0.05482278888
51	0.05443551537
52	0.05400587155
53	0.05361517974
54	0.05324968009
55	0.05290449656
56	0.05257515087
57	0.05227141392
58	0.05197828827
59	0.05169284757
60	0.05144612664
61	0.05121690999
62	0.05100110252
63	0.05078715314
64	0.05059797765
65	0.05041509629
66	0.0502338233
67	0.05005927188
68	0.04990479943
69	0.04976642693
70	0.04962342181
71	0.04940262326
72	0.04919536324
73	0.04900385385
74	0.04887165849
75	0.0486883001
76	0.04857987292
77	0.04840857813
78	0.04825249995
79	0.04810636916
80	0.04797707611
81	0.0478406016
82	0.04770077627
83	0.04761312024
84	0.04749514718
85	0.04736193066
86	0.04725386139
87	0.04716755442
88	0.0471013093
89	0.04699841542
90	0.0469009303
91	0.04684147083
92	0.04677304329
93	0.0466984427
94	0.04663829173
95	0.04652834148
96	0.04644991066
97	0.04634452017
98	0.04626772481
99	0.04617502766
100	0.04610641326
101	0.04604104995
102	0.04596920674
103	0.04592535635
104	0.0458633049
105	0.04578881128
106	0.04572619838
107	0.04567448355
108	0.04561334571
109	0.04555482551
110	0.04550441513
111	0.04546442558
112	0.04539571761
113	0.045360391
114	0.04531390189
115	0.04527832584
116	0.04522884318
117	0.04517741818
118	0.04513080426
119	0.0450728301
120	0.04503917699
121	0.04500209889
122	0.04493635825
123	0.0449161726
124	0.04487903811
125	0.04484501479
126	0.04482278371
127	0.04479025834
128	0.04473662705
129	0.04469226042
130	0.04466194651
131	0.04462063571
132	0.04458528457
133	0.04450457594
134	0.04445011597
135	0.04441827571
136	0.04438886334
137	0.04435758393
138	0.04429466662
139	0.04426074018
140	0.04423465349
141	0.04422034974
142	0.04418003827
143	0.04412874053
144	0.04409156055
145	0.04403189218
146	0.04398277743
147	0.04388638456
148	0.0438565361
149	0.04380731192
150	0.04378263305
151	0.04376252386
152	0.04371618765
153	0.04365919969
154	0.04364104335
155	0.0436097336
156	0.04359060134
157	0.04354718599
158	0.04352671429
159	0.04349037618
160	0.04346125052
161	0.04341688046
162	0.04336873822
163	0.04335460526
164	0.04333153297
165	0.04329432674
166	0.04329071166
167	0.04327703601
168	0.04322027961
169	0.0431826571
170	0.0431345322
171	0.04310772009
172	0.04307011815
173	0.04304016275
174	0.04298775375
175	0.04296764955
176	0.04295595072
177	0.04291349399
178	0.04289095392
179	0.04286421881
180	0.04282232082
181	0.04279832882
182	0.04274945793
183	0.04272690774
184	0.0426612421
185	0.04261854428
186	0.0425936374
187	0.0425710983
188	0.04255065497
189	0.04252360195
190	0.04252232102
191	0.04249651101
192	0.04244951881
193	0.04241485987
194	0.04239663388
195	0.04239468594
196	0.04237466071
197	0.04235429534
198	0.04234507829
199	0.04233093391
200	0.04230317441
201	0.04226674231
202	0.04225445583
203	0.04222865022
204	0.04218730567
205	0.04216316564
206	0.04215035775
207	0.04212341234
208	0.04209746289
209	0.04208683434
210	0.04202889531
211	0.04199747366
212	0.04198378648
213	0.04194373534
214	0.04193499881
215	0.04191124783
216	0.04188875893
217	0.04186724333
218	0.04185739447
219	0.04181889645
220	0.04179864242
221	0.04178629311
222	0.04176526183
223	0.04174944645
224	0.04172357507
225	0.04172357501
226	0.04169360505
227	0.041669345
228	0.04166828246
229	0.04165223655
230	0.04164358659
231	0.04160489875
232	0.04159170703
233	0.04156070365
234	0.04154293994
235	0.04150266469
236	0.04146871386
237	0.04144518376
238	0.0414211627
239	0.04139481855
240	0.0413712963
241	0.04136400026
242	0.04134403139
243	0.04133415502
244	0.04133180405
245	0.04133087317
246	0.0413166793
247	0.04129565309
248	0.04129565308
249	0.04127523575
250	0.04124738424
251	0.04120031362
252	0.04117889156
253	0.04117863244
254	0.04115859063
255	0.04114789084
256	0.04113546659
257	0.0411009172
258	0.04106834754
259	0.0410497122
260	0.04103025841
261	0.0410296907
262	0.04101128541
263	0.04097738651
264	0.04093647659
265	0.04092403611
266	0.04089390993
267	0.04088197856
268	0.04086371521
269	0.0408370761
270	0.04081037655
271	0.04081035536
272	0.04079934241
273	0.04076133677
274	0.04074634258
275	0.04072292377
276	0.04069823119
277	0.04069160622
278	0.04069104832
279	0.04067417545
280	0.04064963504
281	0.04063323083
282	0.0406176819
283	0.04059520188
284	0.04057811561
285	0.04056478548
286	0.04055397183
287	0.04053560687
288	0.04050631661
289	0.04050579821
290	0.04049560782
291	0.04046822673
292	0.04044367186
293	0.04042295202
294	0.04040205369
295	0.04038131142
296	0.04037493826
297	0.04035073836
298	0.04032409872
299	0.04030006937
300	0.04029170986
301	0.04028282345
302	0.04026672414
303	0.04024849564
304	0.04023439689
305	0.04021037102
306	0.04020155519
307	0.04018295424
308	0.04017043521
309	0.04016980396
310	0.04011709413
311	0.04009406006
312	0.04007388435
313	0.04005923298
314	0.04005865767
315	0.04003536191
316	0.03999399849
317	0.03997477371
318	0.0399589721
319	0.03994492668
320	0.03992105102
321	0.03992084086
322	0.03992084084
323	0.03990620175
324	0.03987569633
325	0.03985504432
326	0.03983217106
327	0.03983124808
328	0.03982087782
329	0.03981037519
330	0.03979080068
331	0.03979049439
332	0.0397898427
333	0.03976110728
334	0.03973532873
335	0.03972234544
336	0.0397216796
337	0.03970993071
338	0.03969669782
339	0.03968080113
340	0.03966537853
341	0.03965051309
342	0.03963359769
343	0.03961095
344	0.0395848245
345	0.03957560122
346	0.03956801668
347	0.03954707663
348	0.03952568178
349	0.03949545366
350	0.03947284691
351	0.03947084139
352	0.03945933087
353	0.03943216708
354	0.03940687615
355	0.03938019009
356	0.03936582485
357	0.03934996171
358	0.03933938969
359	0.03932190405
360	0.03930791204
361	0.03926800722
362	0.03926112186
363	0.03924271278
364	0.03921965817
365	0.03920833811
366	0.03918852829
367	0.0391535684
368	0.03913832226
369	0.03912029615
370	0.03910196449
371	0.03908348409
372	0.03907209495
373	0.03907183534
374	0.03905514203
375	0.03904366916
376	0.03902943077
377	0.0390099012
378	0.03900950063
379	0.03898881813
380	0.03896628997
381	0.03895677275
382	0.03894678339
383	0.03892625724
384	0.03891525842
385	0.0388968306
386	0.03889658254
387	0.03887872291
388	0.03887832381
389	0.03886792068
390	0.03884768103
391	0.03882013176
392	0.03881923328
393	0.03878666644
394	0.0387743112
395	0.03876126245
396	0.03875199662
397	0.03873607624
398	0.03870152079
399	0.03868454611
400	0.03867537128
401	0.03866151632
402	0.03866130486
403	0.03865681624
404	0.03865644905
405	0.03863895073
406	0.0386222112
407	0.03860310516
408	0.03859262294
409	0.03858432367
410	0.03857404298
411	0.03857385966
412	0.038561991
413	0.03855668537
414	0.0385413227
415	0.03851764297
416	0.03850766245
417	0.03850754531
418	0.0385073601
419	0.03848553594
420	0.03847277308
421	0.03847259877
422	0.03847243242
423	0.03845888525
424	0.03844079821
425	0.03843422036
426	0.03842103274
427	0.03841101038
428	0.03840194552
429	0.03839775693
430	0.03839383305
431	0.0383865336
432	0.03836683278
433	0.03836670972
434	0.03834782582
435	0.03833318636
436	0.03832623976
437	0.03831999135
438	0.03831988948
439	0.03831006576
440	0.03830419218
441	0.03829244947
442	0.03827961999
443	0.03827620301
444	0.03827605853
445	0.03825758324
446	0.03825076501
447	0.03824659303
448	0.03822462805
449	0.03820915028
450	0.0382090053
451	0.03819537389
452	0.03818367744
453	0.03817023391
454	0.0381602892
